latitude,longitude,alert_date,confidence,source
-7.50387,-63.83863,2026-03-01,nominal,GLAD-Landsat
-7.50387,-63.82037,2026-03-01,nominal,GLAD-Landsat
-7.50387,-63.82012,2026-03-01,nominal,GLAD-Landsat
-7.51312,-63.87463,2026-03-01,nominal,GLAD-Landsat
-7.51363,-63.87438,2026-03-01,nominal,GLAD-Landsat
-7.51387,-63.87438,2026-03-01,nominal,GLAD-Landsat
-7.52412,-63.88638,2026-03-01,nominal,GLAD-Landsat
-8.71787,-64.07337,2026-03-01,nominal,GLAD-Landsat
-8.72213,-64.07237,2026-03-01,nominal,GLAD-Landsat
-8.72213,-64.07212,2026-03-01,nominal,GLAD-Landsat
-10.04763,-71.24863,2026-03-04,nominal,GLAD-Landsat
-10.29963,-71.09162,2026-03-04,nominal,GLAD-Landsat
-10.35287,-71.12738,2026-03-04,nominal,GLAD-Landsat
-10.41837,-71.00763,2026-03-04,nominal,GLAD-Landsat
-10.05188,-63.68588,2026-03-01,nominal,GLAD-Landsat
-10.05213,-63.68462,2026-03-01,nominal,GLAD-Landsat
-10.05237,-63.68462,2026-03-01,nominal,GLAD-Landsat
-10.05363,-63.68637,2026-03-01,nominal,GLAD-Landsat
-10.05363,-63.68612,2026-03-01,nominal,GLAD-Landsat
-10.05413,-63.68637,2026-03-01,nominal,GLAD-Landsat
-10.05413,-63.68612,2026-03-01,nominal,GLAD-Landsat
-10.16413,-63.44338,2026-03-01,nominal,GLAD-Landsat
-10.21038,-63.30488,2026-03-01,nominal,GLAD-Landsat
-10.21462,-63.33913,2026-03-01,nominal,GLAD-Landsat
-10.26037,-63.16737,2026-03-01,nominal,GLAD-Landsat
-10.52437,-63.59313,2026-03-01,nominal,GLAD-Landsat
-10.52463,-63.59287,2026-03-01,nominal,GLAD-Landsat
-10.54138,-63.48463,2026-03-01,nominal,GLAD-Landsat
-10.59512,-63.51338,2026-03-01,nominal,GLAD-Landsat
-10.59563,-63.51188,2026-03-01,nominal,GLAD-Landsat
-10.59563,-63.51138,2026-03-01,nominal,GLAD-Landsat
-10.59563,-63.51112,2026-03-01,nominal,GLAD-Landsat
-10.59563,-63.51087,2026-03-01,nominal,GLAD-Landsat
-10.62963,-63.62488,2026-03-01,nominal,GLAD-Landsat
-10.62963,-63.62463,2026-03-01,nominal,GLAD-Landsat
-10.65938,-63.46137,2026-03-01,nominal,GLAD-Landsat
-10.65963,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.65963,-63.46162,2026-03-01,nominal,GLAD-Landsat
-10.65963,-63.46137,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46538,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46513,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46437,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46388,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.65987,-63.46137,2026-03-01,nominal,GLAD-Landsat
-10.66013,-63.46413,2026-03-01,nominal,GLAD-Landsat
-10.66013,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66013,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.66013,-63.46162,2026-03-01,nominal,GLAD-Landsat
-10.66013,-63.46137,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46787,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46737,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46713,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46213,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46162,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46137,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46113,2026-03-01,nominal,GLAD-Landsat
-10.66038,-63.46088,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46787,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46713,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46688,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46587,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46413,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.66062,-63.46287,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46612,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46587,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46413,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46213,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.66088,-63.46162,2026-03-01,nominal,GLAD-Landsat
-10.66113,-63.46663,2026-03-01,nominal,GLAD-Landsat
-10.66113,-63.46637,2026-03-01,nominal,GLAD-Landsat
-10.66113,-63.46612,2026-03-01,nominal,GLAD-Landsat
-10.66113,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66113,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46388,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46312,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46213,2026-03-01,nominal,GLAD-Landsat
-10.66137,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.66163,-63.46388,2026-03-01,nominal,GLAD-Landsat
-10.66163,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66163,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66163,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.66188,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66188,-63.46213,2026-03-01,nominal,GLAD-Landsat
-10.66188,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.66212,-63.46388,2026-03-01,nominal,GLAD-Landsat
-10.66212,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66212,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66212,-63.46187,2026-03-01,nominal,GLAD-Landsat
-10.66238,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66238,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66263,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66263,-63.46337,2026-03-01,nominal,GLAD-Landsat
-10.66287,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66287,-63.46213,2026-03-01,nominal,GLAD-Landsat
-10.66338,-63.46363,2026-03-01,nominal,GLAD-Landsat
-10.66788,-63.57812,2026-03-01,nominal,GLAD-Landsat
-10.66812,-63.57812,2026-03-01,nominal,GLAD-Landsat
-10.66837,-63.57838,2026-03-01,nominal,GLAD-Landsat
-10.66863,-63.57838,2026-03-01,nominal,GLAD-Landsat
-10.66863,-63.57812,2026-03-01,nominal,GLAD-Landsat
-10.66887,-63.57812,2026-03-01,nominal,GLAD-Landsat
-10.66887,-63.57762,2026-03-01,nominal,GLAD-Landsat
-10.66938,-63.57762,2026-03-01,nominal,GLAD-Landsat
-10.66938,-63.57662,2026-03-01,nominal,GLAD-Landsat
-10.66938,-63.57637,2026-03-01,nominal,GLAD-Landsat
-10.67362,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.68887,-63.64538,2026-03-01,nominal,GLAD-Landsat
-10.68887,-63.64513,2026-03-01,nominal,GLAD-Landsat
-10.69112,-63.64563,2026-03-01,nominal,GLAD-Landsat
-10.69337,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69337,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69337,-63.46988,2026-03-01,nominal,GLAD-Landsat
-10.69363,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69363,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69363,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69363,-63.46988,2026-03-01,nominal,GLAD-Landsat
-10.69388,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69388,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69388,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69412,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69412,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69438,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69438,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69463,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69463,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69663,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69712,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69737,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69737,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69737,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69737,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69763,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69787,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69812,-63.47013,2026-03-01,nominal,GLAD-Landsat
-10.69838,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.69838,-63.47037,2026-03-01,nominal,GLAD-Landsat
-10.69862,-63.47087,2026-03-01,nominal,GLAD-Landsat
-10.69862,-63.47062,2026-03-01,nominal,GLAD-Landsat
-10.93887,-63.63488,2026-03-01,nominal,GLAD-Landsat
-10.93913,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.93938,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63587,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63562,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63538,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94037,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.94063,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63562,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63538,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63213,2026-03-01,nominal,GLAD-Landsat
-10.94088,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94138,-63.63513,2026-03-01,nominal,GLAD-Landsat
-10.94138,-63.63488,2026-03-01,nominal,GLAD-Landsat
-10.94163,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94187,-63.63437,2026-03-01,nominal,GLAD-Landsat
-10.94187,-63.63213,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63437,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63363,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63312,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.94213,-63.63188,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63462,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63412,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63363,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63312,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63287,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63262,2026-03-01,nominal,GLAD-Landsat
-10.94238,-63.63238,2026-03-01,nominal,GLAD-Landsat
-10.95513,-63.67437,2026-03-01,nominal,GLAD-Landsat
-10.95513,-63.67412,2026-03-01,nominal,GLAD-Landsat
-10.96487,-63.59437,2026-03-01,nominal,GLAD-Landsat
-11.00113,-63.74963,2026-03-01,nominal,GLAD-Landsat
-11.24987,-63.45412,2026-03-01,nominal,GLAD-Landsat
-11.94288,-71.92163,2026-03-04,nominal,GLAD-Landsat
-11.96712,-71.99938,2026-03-04,nominal,GLAD-Landsat
-11.96712,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.96738,-71.99938,2026-03-04,nominal,GLAD-Landsat
-11.96738,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.96762,-71.99913,2026-03-04,nominal,GLAD-Landsat
-11.98287,-71.69388,2026-03-04,nominal,GLAD-Landsat
-11.99537,-71.70663,2026-03-04,nominal,GLAD-Landsat
-12.00662,-71.72262,2026-03-04,nominal,GLAD-Landsat
-12.00662,-71.71863,2026-03-04,nominal,GLAD-Landsat
-12.00938,-71.93812,2026-03-04,nominal,GLAD-Landsat
