lat,lon,alert_count,latest_alert
-8.03988,-70.10249999999999,2,2026-03-05
-8.06788,-70.14838,1,2026-03-05
-8.078627142857142,-70.25476428571427,7,2026-03-05
-8.09137,-70.09262,1,2026-03-05
-8.09238,-70.26337,1,2026-03-05
-8.10187,-70.23488,1,2026-03-05
-8.11487,-70.21188,1,2026-03-05
-8.117337142857144,-70.25444571428571,7,2026-03-05
-8.12262,-70.13537,1,2026-03-05
-8.14062,-70.176745,2,2026-03-05
-8.16362,-70.25513,1,2026-03-05
-8.18037,-70.24738,1,2026-03-05
-8.462974705882353,-70.17666882352943,17,2026-03-05
-3.85438,-69.95963,1,2026-03-04
-3.9220721428571426,-69.92994571428571,14,2026-03-04
-3.959927142857143,-69.95998250000001,28,2026-03-04
-3.9877450000000003,-69.960255,2,2026-03-04
-4.00038,-69.53238,1,2026-03-04
-4.00788,-69.54487333333333,3,2026-03-04
-4.02463,-69.526676,5,2026-03-04
-4.022293333333333,-69.97445666666667,3,2026-03-04
-4.036875,-69.5539375,4,2026-03-04
-4.033599999999999,-69.9834288888889,9,2026-03-04
-4.041376666666666,-69.63313,3,2026-03-04
-4.051435,-69.5524325,4,2026-03-04
-4.063024,-69.574072,5,2026-03-04
-4.06238,-69.54863,1,2026-03-04
-4.08563,-69.59075,2,2026-03-04
-4.097474,-69.580376,5,2026-03-04
-4.1355,-69.90438,2,2026-03-04
-4.14687,-69.90762,1,2026-03-04
-4.159873333333333,-69.60229333333334,9,2026-03-04
-4.16525,-69.91475,2,2026-03-04
-4.17625,-69.92238,2,2026-03-04
-4.182119999999999,-69.87637,2,2026-03-04
-4.187023999999999,-69.916876,5,2026-03-04
-4.18194,-69.637745,4,2026-03-04
-4.18888,-69.62538,1,2026-03-04
-4.190078,-69.644724,5,2026-03-04
-4.19663,-69.8715,2,2026-03-04
-4.19869,-69.887245,4,2026-03-04
-4.206412857142857,-69.9028,7,2026-03-04
-4.201934848484848,-69.68835272727274,33,2026-03-04
-4.209372500000001,-69.6984975,4,2026-03-04
-4.21021,-69.84329,3,2026-03-04
-4.21196,-69.76913,3,2026-03-04
-4.211963333333333,-69.85529666666666,3,2026-03-04
-4.2156199999999995,-69.8905,2,2026-03-04
-4.22262,-69.792505,2,2026-03-04
-4.233424,-69.814876,5,2026-03-04
-4.2325,-69.85662,2,2026-03-04
-4.23321,-69.77646,3,2026-03-04
-4.234875000000001,-69.765435,4,2026-03-04
-4.240948,-69.86387500000001,10,2026-03-04
-4.243834166666667,-69.79085333333333,12,2026-03-04
-4.25362,-69.88287,1,2026-03-04
-4.33638,-69.84013,1,2026-03-04
-4.34781,-69.81756,4,2026-03-04
-4.356814166666667,-69.59629416666667,12,2026-03-04
-4.3637453846153855,-69.60802846153845,13,2026-03-04
-4.381044210526315,-69.6405447368421,19,2026-03-04
-4.386696206896552,-69.68498620689655,29,2026-03-04
-4.397777441860465,-69.72692790697675,43,2026-03-04
-4.39266,-69.70312571428573,7,2026-03-04
-4.40044120689655,-69.82171982758621,58,2026-03-04
-4.399960000000001,-69.74719200000001,15,2026-03-04
-4.408755,-69.87412499999999,4,2026-03-04
-4.40888,-69.85962,1,2026-03-04
-4.421043333333333,-69.92754333333333,3,2026-03-04
-4.41919,-69.903685,4,2026-03-04
-4.424874210526315,-69.84663684210527,19,2026-03-04
-4.42512,-69.94088,1,2026-03-04
-4.42563,-69.91763,1,2026-03-04
